"TOA5","GRT - GIZ Graaff-Reinet","Latitude: -32.48547","Longitude: 24.58582","Elevation: 660 m",,,SAURAN
"Date","RecNum","GHI_CMP11","DNI_CHP1","DHI_CMP11","Air_Temp","BP","RH","Rain_Tot","WS","WD","WD_SD"
"TS","RN","W/m^2","W/m^2","W/m^2","Deg C","mbar","%","mm","meters/second","Deg","Deg"
"","","Avg","Avg","Avg","Avg","Avg","Smp","Tot","WVc","WVc","WVc"
2014-01-01 00:00,36,382.018,481.125,40.9557,24.96,940,77.51,0,5.532,139.5,18.24
2014-01-02 00:00,37,378.249,448.74,48.7645,27.58,935,54.96,0,3.508,157.1,54.09
2014-01-03 00:00,38,384.381,486.347,39.8899,27.08,936,70.05,0,4.388,136.2,23.52
2014-01-04 00:00,39,380.547,450.618,44.6027,29.05,934,70.43,6.35,3.24,159.8,56.79
2014-01-05 00:00,40,316.791,342.982,66.9416,31.67,931,72.24,0.508,4.765,1.489,66.22
2014-01-06 00:00,41,168.649,38.0995,139.455,23.82,929,93.6,25.91,2.804,215.5,52.56
2014-01-07 00:00,42,53.1293,0.270427,53.8259,20.35,933,92.1,0.508,1.901,173.7,66.31
2014-01-08 00:00,43,186.909,77.8123,129.054,22.85,934,95.7,5.08,3.421,148.6,19.17
2014-01-09 00:00,44,183.919,85.1016,128.612,23.02,934,99.4,6.096,2.79,167.8,36.28
2014-01-10 00:00,45,175.233,140.672,103.214,22.33,933,96.8,0,2.658,210.4,55.72
2014-01-11 00:00,46,314.966,366.616,84.9806,21.2,938,77.91,0,3.671,176.7,57.98
2014-01-12 00:00,47,385.713,516.458,29.0585,21.14,941,82.6,0,2.764,145.4,28.2
2014-01-13 00:00,48,384.857,499.27,31.9033,21.89,941,75.31,0,3.657,142.2,28.84
2014-01-14 00:00,49,380.867,466.23,51.3439,20.5,945,76.44,0,4.709,131,18.51
2014-01-15 00:00,50,391.988,529.642,27.7185,22.09,939,65.38,0,2.109,134.7,48.26
2014-01-16 00:00,51,303.11,302.517,83.5792,27.06,936,48.75,0,2.964,122.9,59.49
2014-01-17 00:00,52,375.378,476.659,36.571,25.91,941,76.6,0,3.912,142.2,30.24
2014-01-18 00:00,53,254.018,255.608,69.342,23.35,942,79.21,0,4.065,141.5,23.71
2014-01-19 00:00,54,302.322,252.797,113.43,22.21,941,79.38,0,4.054,137.5,19.99
2014-01-20 00:00,55,321.005,351.875,52.1192,23.04,941,84,0,3.693,144.2,27.85
2014-01-21 00:00,56,374.116,478.498,34.8562,23.97,942,72.43,0,4.399,139.4,30.3
2014-01-22 00:00,57,377.323,493.113,34.7346,23.43,943,74.82,0,4.63,137.4,20.14
2014-01-23 00:00,58,329.656,373.216,44.185,26.03,937,39.41,0.762,3.04,107.4,73.5
2014-01-24 00:00,59,237.232,123.037,149.544,29.89,933,73.1,0,6.401,338.2,55.26
2014-01-25 00:00,60,331.087,382.975,66.3468,24.83,935,66.21,0,4.416,156.4,36.26
2014-01-26 00:00,61,316.369,310.422,89.5852,22.31,940,71.97,0,5.574,129.9,16.1
2014-01-27 00:00,62,372.979,485.586,34.7434,22.19,940,79.6,0,4.036,146.1,27.87
2014-01-28 00:00,63,357.983,433.249,48.4756,27.99,936,54.79,0,3.285,147.7,37.67
2014-01-29 00:00,64,266.017,249.58,86.2231,29.51,935,89.8,0,3.647,119.2,65.59
2014-01-30 00:00,0,0,0,0,21.59,883,77.26,0,5.651,113.8,8.17
2014-01-31 00:00,0,20.1608,1.4479,20.0957,22.64,938,79.7,0,7.246,122.3,13.98
2014-02-01 00:00,1,321.781,312.268,116.845,24.39,939,74.02,0,4.245,138.1,19.88
2014-02-02 00:00,2,312.737,357.087,63.8389,27.26,934,68.6,0,3.882,168.5,59.55
2014-02-03 00:00,3,237.076,118.626,162.511,23.36,939,74.78,0,5.508,128.4,15.51
2014-02-04 00:00,4,357.176,469.2,35.004,23.33,938,66.32,0,3.111,146.5,23.92
2014-02-05 00:00,5,248.498,171.209,106.197,25.61,933,90.3,7.366,2.69,167.4,66.81
2014-02-06 00:00,6,192.987,73.8721,127.809,22.35,934,75.81,0,4.662,132.5,21.78
2014-02-07 00:00,7,244.951,186.008,110.895,21.92,937,82.5,0,4.345,136.3,22.9
2014-02-08 00:00,8,312.179,332.331,58.4382,27.14,933,67.23,0,3.159,162.3,32.73
2014-02-09 00:00,9,276.477,231.316,117.964,23.14,936,64.83,0,5.286,132.4,21.7
2014-02-10 00:00,10,348.13,465.511,27.5337,24.22,935,54.02,0,3.404,156.6,46.07
2014-02-11 00:00,11,349.611,478.898,27.5261,24.31,937,75.22,0,3.234,154.5,27.02
2014-02-12 00:00,12,339.373,417.72,37.1325,27.18,936,74.29,0,3.442,155.9,33.49
2014-02-13 00:00,13,294.495,312.008,54.7053,27.45,936,80.7,0,3.591,154.7,23.02
2014-02-14 00:00,14,176.123,73.9749,116.209,25,939,98.3,14.99,4.05,139.1,37.65
2014-02-15 00:00,15,183.127,77.9288,133.498,23.39,943,90.2,0.508,4.847,150.6,21.25
2014-02-16 00:00,16,275.933,246.034,78.6572,25.8,942,86.2,0,2.129,167.7,46.04
2014-02-17 00:00,17,278.299,287.635,71.8506,26.1,940,84.2,0,3.516,139.5,22.87
2014-02-18 00:00,18,298.18,330.932,52.2369,26.92,937,95.2,4.064,2.552,265.4,70.03
2014-02-19 00:00,19,309.28,324.347,72.1411,25.81,940,82.2,0,4.8,138.5,54.77
2014-02-20 00:00,20,204.096,108.82,138.454,25.18,936,67.85,0,2.657,138,53.97
2014-02-21 00:00,21,120.261,13.2555,112.087,20.76,936,73.11,0,5.277,144.2,30.49
2014-02-22 00:00,22,96.1773,0.256236,97.1795,18.53,943,88,0,5.332,123.6,13.98
2014-02-23 00:00,23,307.43,343.359,60.6603,22.41,941,71.89,0,2.797,156.6,31.87
2014-02-24 00:00,24,308.377,388.096,48.9957,25.16,939,84.8,0.254,2.759,139.9,48.13
2014-02-25 00:00,25,178.695,135.225,83.3697,20.34,939,94,16.51,4.316,157.5,43.38
2014-02-26 00:00,26,261.132,270.481,103.123,19.01,943,89.3,0,3.057,135.2,38.23
2014-02-27 00:00,27,320.159,428.719,29.6031,21.24,941,86.9,0,2.433,143.8,50.91
2014-02-28 00:00,28,295.334,358.788,39.6837,24.51,936,58.92,1.016,2.152,144.4,48.16
2014-03-01 00:00,29,222.741,268.001,35.317,23.58,933,93.6,9.91,3.467,287.7,55.59
2014-03-02 00:00,30,292.13,369.764,63.9639,22.76,933,91.8,0,3.257,229,72.37
2014-03-03 00:00,31,313.958,423.649,28.65,24.18,935,54.2,0,2.798,212.1,57.16
2014-03-04 00:00,32,216.195,168.853,109.877,19.59,940,84.2,0,5.258,135.7,19.55
2014-03-05 00:00,33,220.816,147.609,115.108,21.08,941,85,0,3.959,144.5,24.94
2014-03-06 00:00,34,242.542,252.66,72.5318,22.82,941,85.5,0,3.212,153.5,25.32
2014-03-07 00:00,35,284.101,340.565,37.5857,26.03,937,67.34,0,1.902,166.3,49.58
2014-03-08 00:00,36,280.197,345.211,43.5985,26.93,936,70.45,0,4.201,215.6,72.73
2014-03-09 00:00,37,295.663,395.35,43.2908,21.43,938,63.36,0,4.282,140.3,33.82
2014-03-10 00:00,38,101.635,1.00115,101.35,16.82,942,86.2,1.016,6.151,137.5,12.47
2014-03-11 00:00,39,273.634,298.496,57.5245,19.94,941,77.08,0,3.17,149,28.05
2014-03-12 00:00,40,263.817,318.226,50.9175,22.85,935,98,19.81,4.81,232.2,74.02
2014-03-13 00:00,41,199.095,145.672,117.823,16.69,942,85.6,2.794,4.357,152.4,27.9
2014-03-14 00:00,0,0,0,0,13.75,935,86.6,0,1.712,79.59,42.7
2014-03-15 00:00,1,294.922,438.66,22.9462,19.32,940,73.38,0,1.944,152.4,57.37
2014-03-16 00:00,2,291.715,434.601,25.4022,19.46,939,91.5,0,3.429,142.5,59.35
2014-03-17 00:00,3,265.067,341,37.1292,21.64,940,84.5,0,2.757,158.1,37.88
2014-03-18 00:00,4,284.818,409.322,30.9319,20.67,941,83.6,0,2.934,144.1,32.21
2014-03-19 00:00,5,287.046,427.853,23.8104,21.41,937,78.66,0,2.095,149.2,74.49
2014-03-20 00:00,6,263.755,338.763,65.0778,21.15,936,72.22,0,4.425,264.7,49.34
2014-03-21 00:00,7,276.677,390.884,30.8083,18.61,943,70.29,0,2.22,143,58.76
2014-03-22 00:00,8,280.638,432.348,21.7212,20.97,941,39.87,0,1.88,165.5,68.29
2014-03-23 00:00,9,266.63,371.994,36.7293,30.36,934,31.3,0,7.093,327.9,17.87
2014-03-24 00:00,10,247.382,262.993,82.7973,28.8,937,82.7,10.67,6.124,340.2,49.2
2014-03-25 00:00,11,245.696,301.041,55.7047,27.16,939,61.68,0,3.178,343.6,39.33
2014-03-26 00:00,12,212.535,217.527,76.0294,22.57,937,97.3,10.92,5.363,295.9,53.21
2014-03-27 00:00,13,270.813,410.283,29.0548,16.9,940,75.96,0,4.059,294.9,40.32
